          75 1344.64
        1679
0 0
  1             -2             -5           1066
  2              3             -1            841
  3             -2              7             74
  4              3              0            687
  5              7             -3            175
  6             -5             -1            183
  7             -3              0            124
  8              0             -3              4
  9              4              1             81
 10              4             -5             56
 11             -2             -4             29
 12              5             -5             23
 13             -4              1              4
 14             -2              3              9
 15              7              2              7
 16            -13             80            181
 17             -6             88             54
 18            -16             83            884
 19            -14             77            822
 20            -26             88            637
 21            -24             79             59
 22            -25             78            140
 23            -11             80            531
 24             -5             88             58
 25            -21             90             15
 26             -5             82             11
 27            -20             80            185
 28             -6             91            159
 29            -25             89            285
 30            -25             74              4
 31             -8             88             10
 32            -21             74              3
 33            -23             74              4
 34             -5             87             11
 35             -8             91             45
 36             -3             -8              4
 37            -30             15            225
 38            -14             24            286
 39            -12             11            262
 40             -1              7              4
 41              2             14            391
 42            -26             15             54
 43            -36              2            518
 44            -29              7            815
 45             -1             28             25
 46             -7             17             29
 47            -10             31             18
 48            -20             -2            588
 49            -33             20             68
 50            -26              0            480
 51            -13              9              5
 52             -8             12             16
 53            -35             -8             34
 54            -33             23              5
 55             10            -70              9
 56              8            -95             22
 57            -12           -101            120
 58              6           -113            152
 59            -17            -76             21
 60            -23           -102             44
 61             11           -104            676
 62            -19            -96             17
 63            -13            -79            764
 64            -53            -32             13
 65            -78             -2              6
 66            -87            -61            718
 67            -60            -32             52
 68             -6            -12             11
 69             10            -16             93
 70             -7            -11            398
 71              0              3             48
 72             10              2             37
 73             -1            -15              3
 74              1             -3              8
 75             15             -2            406
