          75 1618.36
        1445
0 0
  1             35            -56             50
  2             72            -58             50
  3             70            -66            170
  4             45            -40            297
  5             39            -40              9
  6             60            -50            630
  7             42            -59            179
  8             31            -46            179
  9             44            -58            216
 10             45            -67              4
 11             69            -46              9
 12             24              0            154
 13             12             -4            117
 14              1            -21             63
 15              3             29            436
 16             19            -13            905
 17             13            -14             14
 18             25             11              3
 19             24             23             10
 20              3              7            166
 21             23             19            211
 22              2             -7              8
 23              5             23             25
 24             32              5            139
 25             14             25            213
 26            -16             -4            758
 27             24             17            429
 28              0             -7              5
 29            -74            -22            136
 30            -64            -24            501
 31            -71            -19             93
 32            -91            -15             21
 33            -65            -14            169
 34            -91            -26             22
 35            -76             -7              3
 36            -66             -4            271
 37            -87            -10            433
 38            -73             -8              3
 39            -81             -1           1079
 40            -82            -24            233
 41            -87            -25             11
 42            -76            -25             10
 43            -75             -6             78
 44            -70             -3             63
 45            -64            -22              4
 46            -66             -5             59
 47            -72            -10              8
 48            -89             -3             34
 49            -86             -3            234
 50            -57             -9             30
 51            -22            -36             40
 52            -44             19            123
 53            -21              6              7
 54            -49             -4             33
 55            -68             -7            369
 56            -42             11             11
 57            -69              3             23
 58            -49              9            208
 59            -68            -19              4
 60            -57             -7              8
 61            -61            -34             36
 62            -36             16            504
 63            -56              2             16
 64            -67              0            574
 65            -17            -14             19
 66            -17            -20            235
 67            -28            -26            445
 68            -70            -21              6
 69            -46            -14             43
 70            -52             36            210
 71            -33             62            268
 72            -53             49            410
 73            -39             59            124
 74             33             73             11
 75             38             88           1085
